[transformers] The following generation flags are not valid and may be ignored: ['cache_implementation']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Loading weights: 100%|██████████| 340/340 [00:02<00:00, 153.80it/s]
  0%|          | 10/14955 [00:02<1:04:32,  3.86it/s]
{'loss': '2.025', 'grad_norm': '16.73', 'learning_rate': '4.629e-05', 'epoch': '0.2227'}
{'loss': '2.386', 'grad_norm': '12.76', 'learning_rate': '4.626e-05', 'epoch': '0.2247'}
{'loss': '2.635', 'grad_norm': '14.06', 'learning_rate': '4.623e-05', 'epoch': '0.2267'}
{'loss': '2.493', 'grad_norm': '48.81', 'learning_rate': '4.619e-05', 'epoch': '0.2287'}
{'loss': '2.291', 'grad_norm': '15.75', 'learning_rate': '4.616e-05', 'epoch': '0.2307'}
{'loss': '2.128', 'grad_norm': '16.82', 'learning_rate': '4.613e-05', 'epoch': '0.2327'}
{'loss': '2.217', 'grad_norm': '7.93', 'learning_rate': '4.609e-05', 'epoch': '0.2347'}
{'loss': '2.326', 'grad_norm': '23.25', 'learning_rate': '4.606e-05', 'epoch': '0.2367'}
{'loss': '2.291', 'grad_norm': '16.3', 'learning_rate': '4.602e-05', 'epoch': '0.2387'}
{'loss': '2.347', 'grad_norm': '10.24', 'learning_rate': '4.599e-05', 'epoch': '0.2407'}
{'loss': '2.423', 'grad_norm': '15.39', 'learning_rate': '4.596e-05', 'epoch': '0.2428'}
{'loss': '2.355', 'grad_norm': '12.03', 'learning_rate': '4.592e-05', 'epoch': '0.2448'}
{'loss': '2.362', 'grad_norm': '18.01', 'learning_rate': '4.589e-05', 'epoch': '0.2468'}
{'loss': '2.215', 'grad_norm': '25.14', 'learning_rate': '4.586e-05', 'epoch': '0.2488'}
{'loss': '2.259', 'grad_norm': '20.6', 'learning_rate': '4.582e-05', 'epoch': '0.2508'}
{'loss': '2.396', 'grad_norm': '11.45', 'learning_rate': '4.579e-05', 'epoch': '0.2528'}
{'loss': '1.976', 'grad_norm': '11.36', 'learning_rate': '4.576e-05', 'epoch': '0.2548'}
{'loss': '2.112', 'grad_norm': '19.64', 'learning_rate': '4.572e-05', 'epoch': '0.2568'}
{'loss': '2.076', 'grad_norm': '15.22', 'learning_rate': '4.569e-05', 'epoch': '0.2588'}
{'loss': '2.279', 'grad_norm': '10.12', 'learning_rate': '4.566e-05', 'epoch': '0.2608'}
{'loss': '2.291', 'grad_norm': '18.92', 'learning_rate': '4.562e-05', 'epoch': '0.2628'}
{'loss': '2.399', 'grad_norm': '37.76', 'learning_rate': '4.559e-05', 'epoch': '0.2648'}
{'loss': '2.087', 'grad_norm': '14.17', 'learning_rate': '4.556e-05', 'epoch': '0.2668'}
{'loss': '2.16', 'grad_norm': '18.98', 'learning_rate': '4.552e-05', 'epoch': '0.2688'}
{'loss': '2.372', 'grad_norm': '17.58', 'learning_rate': '4.549e-05', 'epoch': '0.2708'}
{'loss': '2.068', 'grad_norm': '19.63', 'learning_rate': '4.546e-05', 'epoch': '0.2728'}
{'loss': '2.44', 'grad_norm': '23.96', 'learning_rate': '4.542e-05', 'epoch': '0.2749'}
